评论,图片
医生态度很好，对我牙齿的情况讲解得也很详细，洗牙差不多花了50分钟，每一步都很仔细，牙齿洗得很干净，医生态度非常nice，而且很有耐心，洁牙后要认真刷牙，还可以搭配牙线，这样能更好的保护牙齿，有个别牙齿牙龈红肿，但洗牙的时候没感到疼，医生和助理手都很轻，团购买的套餐，价格很划算一次性的用具很卫生，都是独立有消毒包装，值得推荐,['http://p1.meituan.net/shaitu/5c2ddd93731c89f4b0d236b349c665f31818629.jpg']
不清晰评价，真的蛮好的申医生态度超级好，安利,[]
口腔美白很划算。三次都服务态度很好，很周到。非常满意的一次洗牙洁牙美白体验。,[]
环境超好，团购的499，说我牙齿挺好帮我洗了300的，办了会员还退了钱，太有职业素养了。,[]
不错，服务很好，牙医手把手教怎么正确刷牙，挺有帮助的。小礼品也很精致。,[]
环境挺好，妹子漂亮人也好，感觉挺不错的，还送了我老家的特产,[]
环境很好很耐心很细心服务超值非常满意,"['http://p0.meituan.net/shaitu/7a47d22c97e7905d0c4441366af27203384259.jpg', 'http://p0.meituan.net/shaitu/82884948c35c870b627e6495ed5ccb4c285536.jpg']"
洗牙真的念很久了，就团了一个洗牙，没想到这家很文艺，环境很好，护士也很有礼貌，如沐春风，到楼上让牙医去检查，发现上磨牙有蛀牙，怪不得咬合的时候有一种莫明的酸爽。牙结石也严重，团的这个套餐刚好有上药，还是进口的，怪不得团购价都这么贵，还是值得的，牙医说洗完牙后就可以给我上药，能改善牙周炎。顺便把蛀牙也补了，经历了差不多两小时，牙医技术杠杠的，值得信赖。,"['http://p1.meituan.net/shaitu/ccab266b866b89415274bc43d433bf01202313.jpg', 'http://p0.meituan.net/shaitu/16f7aa165a814eb8917cc5acfd09195e234337.jpg', 'http://p1.meituan.net/shaitu/b15e8d1c5d354a088c8f15de334aef81233973.jpg', 'http://p0.meituan.net/shaitu/7321efc2d699bdbaa22a7b5935f4c593227182.jpg']"
环境很好，护士医生都很有礼貌很专业。非常人性化的诊所，洗牙之前还会耐心讲解正确刷牙方式。整体感受类似欧美私人诊所，医护人员是真正有耐心的为你考虑为你服务。值得推荐,[]
经常牙龈出血，就团他们家的洗牙豪华套餐，认真对比下，和他们家另外一个洗牙套餐的区别是牙周上药不一样，是进口的，洗完牙后就上药，希望能改善口腔问题，环境和服务都不错，赞一个。,"['http://p0.meituan.net/shaitu/007493a729fe557aefb18dda39a56647267136.jpg', 'http://p1.meituan.net/shaitu/85aa054739f563342e6458709330e682278558.jpg', 'http://p0.meituan.net/shaitu/1696c4846b235822dfa94b124e5f72b4179971.jpg', 'http://p1.meituan.net/shaitu/89773de3e954d92c38de3ebcd5357dfc243410.jpg']"
