评论,id
朋友介绍的，第一次过来做因为生孩子导致激素分泌旺盛脸上一下子起了好多痘痘，痘印也是很难消，朋友介绍做光子嫩肤不错，过来的时候8点了正赶着下班，工作人员很好见我从东莞过来的赶紧联系操作医生帮忙晚一点下班工作人员都超级敬业，特别操作的小美女，不会因为说赶着下班就敷衍了事。反尔一边操作一边安慰，来，再给你加强一下哦，不痛的哦，你再忍忍哦小姐姐真的嘴甜手狠，我很喜欢，过两天再看看效果，期待中,88193732
体验前变美诉求长痘痘几年了，用产品起不了什么作用，就想试下医美项目项目体验过程提前预约，到了后在前台报预约信息，然后找医生面诊。医生有针对我的皮肤状况做了些建议，完了有专门的人带到操作室那边等待操作。洗脸后要拍照存档，再到操作室敷麻药，大概敷半小时，然后正式操作。操作的时候还是挺痛的，所以医生后面有调整了下力度，可能我的皮肤比较敏感，疼痛感还是比较明显的。体验后效果回家后敷了一周的医用面膜，痘痘确实有消下去了一些，也没那么红肿了，不过医生说要治好还得多做几次。,97753768
项目服务富华医院靠近向西村地铁口，一出地铁口就到了，很方便，一楼是接待室和茶水间，环境很不错，美观大气，二楼是手术室，还有住院部。助理小姐姐和护士小姐姐一个个都很漂亮温柔，细心。项目效果三年前在老家医院做的埋线，到现在都看不出效果了，还是想着全切双眼皮，是一辈子都不会变的，而且前一个星期也是在这里做的面部填充，给我主刀的是谢医生，术前很负责任的给我设计手术方案，术中还会问我的感受，点赞，期待拆线的效果。,0
买了200单位做的瘦小腿项目，先敷麻药，然后再进入操作室，支付宝扫码验了药没发现问题，配药时也是允许全程看着的，加配了生理盐水后共配出来910支小管，一只腿分别打了5针差不多扎了有2030个针孔，打之前注射医生会先用记号笔标记然后再打，注射过程中会有比较强的酸胀感，第一次打的小白表示在能接受的最大范围吧，再疼点估计就受不了了，护士会给一个解压球捏着，比较人性化。我是下午去打的，打完已经四五点了，反正当时是几乎不太会走路的，睡了一晚就几乎没什么胀痛感了，接下来几天就是肌肉不太使的上力，膝盖和脚踝代偿的厉害，本来以前右腿膝盖就扭伤过的这次更疼了这里建议膝盖不好的尽量别打了。现在距离第一天注射已经有8天了，本想等一个月的时候再来评价反馈，但是美团那边打电话过来问体验报告了就如实写一下，大家可以有个参考。医生说是一个月效果最佳，目前没有任何效果，注射时的淤青和出血也仍未消失，暂不下结论吧，一个月时如果有效果就考虑打第二针，效果不理想就不考虑了对了医生说肌肉比较大的第一次打只能起到软化作用，要多打两次才会见效。就我个人本次到店的体验整体还行，指定了医生也都支持，就看后期效果吧,0
想改善的问题因为觉得自己的鼻子很塌，天生的吧，也考虑了很久，担心有各种风险，后面是朋友推荐富华美容医院，我自己也在网上查了一些资料，看着这个医院规模还挺大，环境也不错，医生操作面诊的是谢医生，给我主刀的也是他，术前很详细的给我介绍了手术方案，整个方案和体验让人很舒服，商户服务服务是没得说的，特别是护士小姐姐，很细心温柔，下手术都会帮我看药水，不用自己操心，总之很不错的体验,3684771229
我自己的姐姐是富华的老顾客了，这次也是她介绍我过来因为自己的面部太凹陷了，网上查资料可以通过吸脂来填充就来富华医院了，这里的环境很不错，面诊的是李院长，李院长给我做的手术，他很专业，很和蔼跟我讲的术前准备很详细，包括护士姐姐很温柔很体贴很细致细心还有顾问美女也是有一说一不会乱报价格是很不错的体验，以后还是会来这里做项目还会介绍朋友过来的,1385252488
想改善的问题之前在，其他美容医院，做的耳软骨隆鼻，已经有四年了，觉得这个形态有点丑，整个都没有之前的效果了，想着再找其它医院修复一下，在网上搜了很多医院后面对比了一下，来到富华医院，面诊是谢主任商户服务谢主任跟我讲的方案很详细，还有就是这里的工作人员和服务人员态度都很好，手术之后，因为不想吃东西，他们一直都在关心着让我吃东西，总之，很好，值得推荐，今天拔了管就可以回家了，照片太恐怖了咯哈,0
我是第一次来这里是看到网上过来的这里交通挺方便的前面就是地铁口工作人员特别热情服务态度好前台小姐姐也特别温柔会指导我的流程饿了有面包可以吃茶水自助医生和护士都特别温柔有耐心打之前会给我看药品是正品未开封打完会交代注意事项整体不错值得推荐环境不错舒适,2289106409
看了好几家美容院，就看到富华医院挺不错的。就从惠州过来深圳，过来咨询一下。会有专门顾客和助理带我，带我面诊唐院长，给我详细介绍手术的方案，讲下手术的过程，做个体检，抽血，然后就可以做手术了。服务态度挺好的，我做的局麻，感觉到没什么疼痛，挺好的，期待术后的效果。地理位置也挺好找的，做的不错。,610488141
第一次来富华医院，是在百度上搜索到的这个医院，看评论的话是不错的，今天还特意过来打了水光针再做的手术，一次性搞定，嘴唇改薄听说每天都有很多手术，所以还是相信这里的专业，相信谢主任的技术和专业，这里的服务很好，护士姐姐们很温柔，很细心，术后给我冰敷一下，给我讲了很详细的注意事项。期待效果了,3385798091
想改善的问题年纪大了，上了年纪的人眼睛就会出现眼袋，更加显老了，想着就算年纪大了也要爱美，也是朋友介绍过来，朋友也在富华医院做过去眼袋，看着效果还不错项目效果位置很近，就在向西村地铁站d出口出门就到了，一楼就是茶水间，二楼就是手术室，很方便术中感受手术就是打麻药痛，其他还好，冰敷完就可以回家了,2892596896
想改善的问题女性到了一定的年龄，又加上生了小孩，下面就开始松弛了，影响到生活，然后又在网上查了很多资料，手术可以美容这一块，又找了好家美容医院，对比了一下，觉得富华医院不错项目效果做手术是没有感觉到的，全麻的状态，就是手术完之后稍微有点痛，不过能忍受医生操作给我做手术的是李院长，人很好，很和蔼，手术细节给我讲的很详细，期待效果,718214105
做完脸部感觉是有很大的提升，下颚线明显提升有小V脸的感觉第二天电话回访才知道是彭医生给我做的，彭医生人很好，还会根据你的皮肤状况告诉你平时怎么护理，比如我的油皮痘痘肌用什么实惠的药膏和治疗方案，注意不是推销医院的套餐，是良心建议哦，和我之前去医院皮肤科看的治疗方案一样，针对我这个皮肤如果想继续做项目哪些会比较合适等做完也没什么不适，脸部稍微有点红，给拿了冰袋敷会比较干，回来天天做保湿面膜护理虽然接待对接一般，但是咱主要是想要拥有一个好医生不是么,291779440
八月份在富华医院做了隆胸，也是找的唐院，那个时候也抽脂填了面部，今天是过来补胶的，之前村存这着有胶，最先来的时候是做线雕，而且是在不经意间发现的富华医院，在路口看到了就进来了，这里的环境很好，而且刚好碰上活动，也满足我的需求，总之很不错的一次体验，我的顾问很好，很专业，也很实在。还有这里的护士小姐姐也很温柔,68624845
想改善的问题位置很好找，很大的一个logo一眼就能看见，环境很好，氛围感也医生操作手法很专业，术前有进行沟通。网上下单的时候还有点担心，结果到店一看跟图片描述的基本没有差，没有任何问题特别感谢工作员，非常耐心地给予专业的指导，默默点个赞,0
想改善的问题自己脸上的痣从小就有，影响美观，在网上查了资料会病变，怕病变所以想着来手术祛除。商户服务是朋友介绍过来的，朋友说富华医院很规范，很正规，所以当天就过来了，就面诊谢主任之后就做了术前准备，手术当天排的是第一台，很快，半个小时就完成了，也不通，冰敷完就可以回去了,370229741
想改善的问题上了年纪，感觉眼袋越来越明显，想要尝试手术的方式祛除，不想太显老商户服务通过朋友介绍过来的，医院的交通很便利，环境也不错，感觉挺高大上的，值得推荐。医生操作谢主任给我面诊的手术方案我觉得很好，也很满意，体检也很完善，让人感觉很放心。谢主任和护士感觉都挺好的，手术过程是局麻，疼痛感也可以接受，术后冰敷一下感觉好多了。,3292559175
项目效果一直在这里注射我是这里老客户了效果不错持续在这里打商户服务环境舒适服务态度好饿了有面包可以吃茶水自助想改善的问题觉得自己咬肌太大了医生操作技术很专业护士很温柔打完会交代注意事项整体不错,42277464
想改善的问题天生的单眼皮，又加上戴眼镜，显得眼睛非常小，然后想着这次假期过来，做个双眼皮手术改善一下商户服务之前自己老妈是在富华医院抽脂的，这次也是妈妈带我来的，这边环境不错，离地铁站也近，出向西村就到了，工作人员很有礼貌，服务很好，值得推荐的医生操作给我主刀的是李院长，很和蔼，今天做完就可以回去了，包着纱布，到时间来换药拆线就可以了,2544810054
想改善的问题我是属于怎么吃多不胖的体质，这是所有女生都羡慕的体质吧，但是太瘦了显得整个脸不饱满，显得很老气，然后在百度里面搜索了美容医院，对比了很多家，选择了富华医院，相信他们的专业商户服务服务很好，给我主刀的唐院长，做完手术就来看我了，项目效果做完之后就能看到效果了，很明显，期待完全恢复的状态，值得推荐,154389771
第一次来做皮肤朋友推荐的，地铁交通还是很方便的，第一次尝试做微针敷了三四十分钟麻药，消毒之后就开始做了，做之前会核对药物，做完皮肤有点红，有点刺痛感，为了皮肤能好点，还是要尝试看看的，给我做治疗的治疗师很好很热情，注意事项也都交代清楚了，总体还是很不错的，期待效果。,986621340
项目效果想要咬肌小一点商户服务朋友推荐过来的，在美团看到价格划算就过来体验一下，环境都挺好，地铁口也很方便想改善的问题咬肌比较发达，想精致一点医生操作手法很专业，护士会核对药品，还可以接受术中感受一点点痛，,0
